"model","suite","run_status","records","pass","degraded","fail","not_scored","unresolved","scoreable","strict_pass_rate"
"gemma4:31b-cloud","capability_extreme","completed",7,3,0,4,0,0,7,0.4286
"gemma4:31b-cloud","environment","completed",11,11,0,0,0,0,11,1.0
"gemma4:31b-cloud","fake_deep_all_success","completed",9,9,0,0,0,0,9,1.0
"gemma4:31b-cloud","fake_deep_fail_once_navigation","completed",0,0,0,0,0,0,0,
"gemma4:31b-cloud","fake_deep_fail_once_navigation_full","timed_out",9,4,0,1,3,1,5,0.8
"gemma4:31b-cloud","kb_stress","completed",7,7,0,0,0,0,7,1.0
"gemma4:31b-cloud","main","timed_out",21,17,0,3,0,1,20,0.85
"gemma4:31b-cloud","robustness","completed",5,3,0,2,0,0,5,0.6
"gemma4:cloud","capability_extreme","completed",7,3,0,4,0,0,7,0.4286
"gemma4:cloud","environment","completed",11,11,0,0,0,0,11,1.0
"gemma4:cloud","fake_deep_all_success","completed",9,9,0,0,0,0,9,1.0
"gemma4:cloud","fake_deep_fail_once_navigation_targeted","completed",1,1,0,0,0,0,1,1.0
"gemma4:cloud","kb_stress","completed",7,7,0,0,0,0,7,1.0
"gemma4:cloud","main","completed",21,18,0,3,0,0,21,0.8571
"gemma4:cloud","robustness","completed",5,3,0,2,0,0,5,0.6
"nemotron-3-super:cloud","capability_extreme","completed",7,0,0,6,1,0,6,0.0
"nemotron-3-super:cloud","environment","completed",11,11,0,0,0,0,11,1.0
"nemotron-3-super:cloud","fake_deep_all_success","completed",9,8,1,0,0,0,9,0.8889
"nemotron-3-super:cloud","fake_deep_fail_once_navigation_targeted","completed",1,1,0,0,0,0,1,1.0
"nemotron-3-super:cloud","kb_stress","completed",7,4,0,2,1,0,6,0.6667
"nemotron-3-super:cloud","main","timed_out",21,17,1,1,1,1,19,0.8947
"nemotron-3-super:cloud","robustness","completed",5,3,0,2,0,0,5,0.6
